Price,Manufacturing_year,Engine capacity,KM driven,Ownership,Imperfections,Repainted Parts,Spare key_Yes,Transmission_Manual,Fuel type_Diesel,Fuel type_Petrol
561000,2017,1197,25847,2,6,2,False,True,False,True
498000,2016,1197,55511,2,12,1,True,True,False,True
577000,2020,1197,47110,1,4,2,False,True,False,True
1084000,2022,1462,35378,1,2,3,True,False,False,True
603000,2019,1197,91856,1,3,2,True,True,False,True
233000,2014,796,43780,1,10,2,False,True,False,True
593000,2020,1197,49583,1,1,0,True,True,False,True
583000,2018,1197,86837,2,4,6,False,False,False,True
513000,2016,1197,58570,2,10,3,True,True,False,True
378000,2019,998,50645,1,0,0,True,True,False,True
526000,2016,1197,77053,1,4,4,True,True,False,True
565000,2023,998,8023,1,1,1,False,False,False,True
384000,2022,796,18317,1,1,0,False,True,False,True
610000,2019,1197,73984,1,2,5,True,True,False,True
462000,2014,1197,65612,1,7,2,True,True,False,True
511000,2017,1197,81391,1,3,1,True,True,False,True
650000,2021,998,3760,2,1,0,True,False,False,True
616000,2017,1197,72891,2,3,7,True,False,False,True
588000,2023,998,10006,1,0,0,True,True,False,True
244000,2014,796,57290,1,0,0,True,True,False,True
533000,2018,1197,35090,1,4,2,True,True,False,True
436000,2021,998,45232,1,0,0,True,True,False,True
408000,2018,998,37192,2,5,3,False,True,False,True
565000,2023,998,15262,1,1,0,True,False,False,True
360000,2020,796,32285,1,6,3,False,True,False,True
617000,2018,1197,60017,1,3,3,True,True,False,True
333000,2014,998,76934,2,14,4,True,True,False,True
897000,2022,1462,16453,1,0,0,True,True,False,True
449000,2017,998,72304,1,0,0,True,False,False,True
447000,2017,998,76079,1,16,1,False,True,False,True
446000,2023,796,29652,1,2,2,False,True,False,True
450000,2019,998,99910,2,2,4,False,True,False,True
642000,2018,1197,62129,1,3,2,True,False,False,True
494000,2018,998,14268,1,7,2,True,False,False,True
610000,2018,1248,72273,2,0,0,False,True,True,False
497000,2017,1197,52488,1,1,3,True,True,False,True
718000,2019,1197,86198,1,20,7,True,False,False,True
441000,2016,1197,107226,3,0,0,True,True,False,True
253000,2012,998,61391,2,3,8,True,True,False,True
536000,2018,1197,106179,2,20,4,True,False,False,True
751000,2017,1248,111621,2,14,5,True,True,True,False
530000,2018,1197,74858,1,0,0,False,True,False,True
703000,2021,1197,60706,1,3,0,True,True,False,True
488000,2017,1197,69042,2,22,8,False,True,False,True
191000,2011,998,34213,1,11,3,True,True,False,True
582000,2015,1248,89450,2,5,4,True,True,True,False
643000,2017,1248,77742,1,0,0,True,False,True,False
690000,2021,1197,45407,1,11,8,True,True,False,True
527000,2014,1248,98752,1,6,1,True,True,True,False
521000,2015,1248,90513,1,0,0,False,True,True,False
209000,2015,796,110664,2,14,13,False,True,False,True
599000,2018,1197,68760,1,11,4,False,False,False,True
1146000,2023,1462,22737,1,0,0,True,True,False,True
705000,2020,1248,41774,1,0,0,True,False,False,True
1058000,2022,1462,66111,1,0,0,False,True,False,True
1146000,2023,1462,12590,1,0,0,False,True,False,True
783000,2021,1197,39505,1,1,1,True,True,False,True
438000,2013,1248,102255,1,14,1,True,True,True,False
637000,2020,1197,61979,1,1,7,True,True,False,True
392000,2017,998,92836,1,6,5,False,True,False,True
631000,2018,1197,76836,1,7,12,True,False,False,True
829000,2023,1197,10289,1,1,0,True,False,False,True
515000,2016,1197,34781,1,11,14,True,True,False,True
527000,2017,1197,63852,1,4,1,True,True,False,True
679000,2021,1197,62062,1,1,0,False,True,False,True
429000,2014,1197,54507,1,0,0,True,True,False,True
182000,2011,998,50057,1,26,7,False,True,False,True
640000,2017,1248,95453,1,2,3,True,False,True,False
1193000,2022,1462,41145,1,2,1,False,False,False,True
747000,2017,1248,45146,1,2,4,True,True,True,False
623000,2016,1197,38023,1,10,1,True,True,False,True
420000,2013,1197,52178,2,0,0,True,True,False,True
427000,2021,998,18842,2,9,0,True,True,False,True
1146000,2023,1462,18693,1,1,1,True,True,False,True
386000,2018,998,92102,1,4,1,True,True,False,True
637000,2022,998,48731,1,3,0,True,True,False,False
219000,2013,796,56113,2,15,9,False,True,False,True
790000,2020,1197,32142,1,8,4,True,False,False,True
1091000,2022,1462,23690,1,0,0,True,True,False,True
